,date,ML,Low,High
New Jersey,2020-04-07,1.08,1.03,1.1400000000000001
New Jersey,2020-04-08,1.02,0.97,1.07
New Jersey,2020-04-09,0.99,0.9400000000000001,1.05
New Jersey,2020-04-10,0.96,0.91,1.02
New Jersey,2020-04-11,0.9500000000000001,0.9,1.0
New Jersey,2020-04-12,0.96,0.91,1.02
New Jersey,2020-04-13,0.98,0.92,1.03
New Jersey,2020-04-14,0.99,0.9400000000000001,1.05
New Jersey,2020-04-15,0.99,0.9400000000000001,1.05
New Jersey,2020-04-16,0.98,0.92,1.03
New Jersey,2020-04-17,0.98,0.92,1.03
New Jersey,2020-04-18,0.9500000000000001,0.9,1.01
New Mexico,2020-03-11,2.0,0.34,6.43
New Mexico,2020-03-12,1.74,0.4,4.13
New Mexico,2020-03-13,1.61,0.41000000000000003,3.56
New Mexico,2020-03-14,1.52,0.39,3.21
New Mexico,2020-03-15,1.46,0.39,2.99
New Mexico,2020-03-16,1.54,0.46,2.99
New Mexico,2020-03-17,1.48,0.47000000000000003,2.82
New Mexico,2020-03-18,1.49,0.1,2.7800000000000002
New Mexico,2020-03-19,1.57,0.2,2.83
New Mexico,2020-03-20,1.73,0.42,2.96
New Mexico,2020-03-21,1.8,0.6,2.95
New Mexico,2020-03-22,1.74,0.65,2.8000000000000003
New Mexico,2020-03-23,1.69,0.6900000000000001,2.67
New Mexico,2020-03-24,1.8,0.91,2.71
New Mexico,2020-03-25,1.76,0.92,2.5500000000000003
New Mexico,2020-03-26,1.74,1.0,2.49
New Mexico,2020-03-27,1.6600000000000001,0.97,2.34
New Mexico,2020-03-28,1.59,0.9400000000000001,2.21
New Mexico,2020-03-29,1.56,0.97,2.16
New Mexico,2020-03-30,1.49,0.9400000000000001,2.06
New Mexico,2020-03-31,1.46,0.9400000000000001,2.0
New Mexico,2020-04-01,1.44,0.9500000000000001,1.95
New Mexico,2020-04-02,1.44,0.98,1.93
New Mexico,2020-04-03,1.42,0.98,1.8800000000000001
New Mexico,2020-04-04,1.44,1.02,1.87
New Mexico,2020-04-05,1.41,1.01,1.82
New Mexico,2020-04-06,1.43,1.06,1.83
New Mexico,2020-04-07,1.3900000000000001,1.04,1.77
New Mexico,2020-04-08,1.37,1.03,1.73
New Mexico,2020-04-09,1.29,0.96,1.6300000000000001
New Mexico,2020-04-10,1.25,0.92,1.57
New Mexico,2020-04-11,1.1500000000000001,0.8300000000000001,1.47
New Mexico,2020-04-12,1.09,0.78,1.41
New Mexico,2020-04-13,1.02,0.71,1.34
New Mexico,2020-04-14,0.99,0.68,1.31
New Mexico,2020-04-15,0.97,0.66,1.29
New Mexico,2020-04-16,1.0,0.68,1.31
New Mexico,2020-04-17,1.01,0.7000000000000001,1.33
New Mexico,2020-04-18,1.06,0.76,1.3900000000000001
New York,2020-03-01,2.0,0.34,6.43
New York,2020-03-02,2.65,0.68,5.5600000000000005
New York,2020-03-03,2.64,0.87,4.67
New York,2020-03-04,2.98,1.43,4.57
New York,2020-03-05,2.7800000000000002,1.57,4.0200000000000005
New York,2020-03-06,2.5300000000000002,1.55,3.5300000000000002
New York,2020-03-07,2.32,1.47,3.12
New York,2020-03-08,2.13,1.4000000000000001,2.88
New York,2020-03-09,2.04,1.41,2.71
New York,2020-03-10,2.0,1.42,2.56
New York,2020-03-11,2.05,1.54,2.54
New York,2020-03-12,2.05,1.61,2.49
New York,2020-03-13,2.05,1.6600000000000001,2.43
New York,2020-03-14,2.1,1.76,2.43
New York,2020-03-15,2.35,2.07,2.64
New York,2020-03-16,2.68,2.45,2.91
New York,2020-03-17,2.97,2.79,3.15
New York,2020-03-18,2.97,2.83,3.12
New York,2020-03-19,2.88,2.77,3.0
New York,2020-03-20,2.71,2.61,2.79
New York,2020-03-21,2.47,2.39,2.54
New York,2020-03-22,2.27,2.2,2.33
New York,2020-03-23,2.06,2.0,2.12
New York,2020-03-24,1.86,1.81,1.92
New York,2020-03-25,1.71,1.6600000000000001,1.76
New York,2020-03-26,1.56,1.51,1.6
New York,2020-03-27,1.43,1.3900000000000001,1.48
New York,2020-03-28,1.35,1.31,1.3900000000000001
New York,2020-03-29,1.27,1.23,1.31
New York,2020-03-30,1.23,1.19,1.27
New York,2020-03-31,1.22,1.18,1.26
New York,2020-04-01,1.21,1.17,1.24
New York,2020-04-02,1.21,1.17,1.24
New York,2020-04-03,1.2,1.16,1.23
New York,2020-04-04,1.16,1.1300000000000001,1.2
New York,2020-04-05,1.1300000000000001,1.1,1.17
New York,2020-04-06,1.1,1.06,1.1300000000000001
New York,2020-04-07,1.07,1.04,1.11
New York,2020-04-08,1.05,1.01,1.08
New York,2020-04-09,1.03,1.0,1.07
New York,2020-04-10,1.01,0.97,1.04
New York,2020-04-11,0.98,0.9400000000000001,1.01
New York,2020-04-12,0.96,0.93,1.0
New York,2020-04-13,0.9500000000000001,0.92,0.99
New York,2020-04-14,0.9400000000000001,0.91,0.98
New York,2020-04-15,0.93,0.89,0.96
New York,2020-04-16,0.91,0.87,0.9400000000000001
New York,2020-04-17,0.91,0.87,0.9400000000000001
New York,2020-04-18,0.93,0.89,0.96
North Carolina,2020-03-06,2.0,0.34,6.43
North Carolina,2020-03-07,1.8800000000000001,0.38,5.01
North Carolina,2020-03-08,1.8,0.38,4.45
North Carolina,2020-03-09,2.05,0.5,4.54
North Carolina,2020-03-10,1.8900000000000001,0.47000000000000003,3.98
North Carolina,2020-03-11,2.0,0.56,3.9
North Carolina,2020-03-12,2.0300000000000002,0.63,3.71
North Carolina,2020-03-13,1.78,0.08,3.31
North Carolina,2020-03-14,1.85,0.23,3.34
North Carolina,2020-03-15,2.0100000000000002,0.48,3.41
North Carolina,2020-03-16,2.04,0.6900000000000001,3.33
North Carolina,2020-03-17,2.35,1.18,3.43
North Carolina,2020-03-18,2.37,1.41,3.31
North Carolina,2020-03-19,2.4,1.6,3.19
North Carolina,2020-03-20,2.2800000000000002,1.61,2.97
North Carolina,2020-03-21,2.15,1.55,2.72
North Carolina,2020-03-22,2.1,1.58,2.6
North Carolina,2020-03-23,2.0,1.53,2.43
North Carolina,2020-03-24,1.8900000000000001,1.49,2.3000000000000003
North Carolina,2020-03-25,1.83,1.47,2.2
North Carolina,2020-03-26,1.75,1.43,2.1
North Carolina,2020-03-27,1.68,1.37,1.98
North Carolina,2020-03-28,1.61,1.34,1.9100000000000001
North Carolina,2020-03-29,1.47,1.2,1.73
North Carolina,2020-03-30,1.41,1.16,1.67
North Carolina,2020-03-31,1.33,1.1,1.59
North Carolina,2020-04-01,1.29,1.06,1.53
North Carolina,2020-04-02,1.27,1.05,1.51
North Carolina,2020-04-03,1.27,1.05,1.49
North Carolina,2020-04-04,1.26,1.05,1.48
North Carolina,2020-04-05,1.28,1.08,1.49
North Carolina,2020-04-06,1.24,1.05,1.45
North Carolina,2020-04-07,1.21,1.02,1.41
North Carolina,2020-04-08,1.18,0.99,1.37
North Carolina,2020-04-09,1.1400000000000001,0.9500000000000001,1.32
North Carolina,2020-04-10,1.1,0.92,1.29
North Carolina,2020-04-11,1.05,0.87,1.24
North Carolina,2020-04-12,0.99,0.81,1.18
North Carolina,2020-04-13,0.97,0.79,1.16
North Carolina,2020-04-14,0.97,0.79,1.16
North Carolina,2020-04-15,0.97,0.79,1.16
North Carolina,2020-04-16,1.01,0.8300000000000001,1.2
North Carolina,2020-04-17,1.05,0.87,1.24
North Carolina,2020-04-18,1.09,0.91,1.28
North Dakota,2020-03-15,2.0,0.34,6.43
North Dakota,2020-03-16,2.35,0.48,5.72
North Dakota,2020-03-17,2.43,0.64,4.98
North Dakota,2020-03-18,2.64,0.87,4.67
North Dakota,2020-03-19,2.16,0.75,3.8200000000000003
North Dakota,2020-03-20,1.92,0.6900000000000001,3.37
North Dakota,2020-03-21,1.67,0.5700000000000001,2.95
North Dakota,2020-03-22,1.45,0.11,2.71
North Dakota,2020-03-23,1.28,0.06,2.47
North Dakota,2020-03-24,1.3800000000000001,0.15,2.59
North Dakota,2020-03-25,1.46,0.22,2.62
North Dakota,2020-03-26,1.6,0.4,2.73
North Dakota,2020-03-27,1.6,0.48,2.67
North Dakota,2020-03-28,1.6600000000000001,0.63,2.67
North Dakota,2020-03-29,1.6300000000000001,0.67,2.56
North Dakota,2020-03-30,1.54,0.65,2.42
North Dakota,2020-03-31,1.43,0.5700000000000001,2.24
North Dakota,2020-04-01,1.26,0.44,2.05
North Dakota,2020-04-02,1.17,0.37,1.94
North Dakota,2020-04-03,1.16,0.38,1.92
North Dakota,2020-04-04,1.12,0.36,1.8800000000000001
North Dakota,2020-04-05,1.08,0.33,1.83
North Dakota,2020-04-06,1.07,0.34,1.83
North Dakota,2020-04-07,1.0,0.26,1.73
North Dakota,2020-04-08,1.0,0.26,1.73
North Dakota,2020-04-09,0.96,0.24,1.71
North Dakota,2020-04-10,0.93,0.18,1.6400000000000001
North Dakota,2020-04-11,0.96,0.21,1.69
North Dakota,2020-04-12,1.0,0.24,1.73
North Dakota,2020-04-13,1.04,0.3,1.8
North Dakota,2020-04-14,1.22,0.47000000000000003,1.95
North Dakota,2020-04-15,1.47,0.76,2.16
North Dakota,2020-04-16,1.67,1.02,2.31
North Dakota,2020-04-17,1.76,1.1500000000000001,2.32
North Dakota,2020-04-18,1.8,1.27,2.33
Ohio,2020-03-09,2.0,0.34,6.43
Ohio,2020-03-10,1.8800000000000001,0.38,5.01
Ohio,2020-03-11,2.65,0.68,5.5600000000000005
Ohio,2020-03-12,2.81,0.93,4.98
Ohio,2020-03-13,2.63,1.05,4.3500000000000005
Ohio,2020-03-14,2.56,1.2,3.96
Ohio,2020-03-15,2.31,1.16,3.48
Ohio,2020-03-16,2.3000000000000003,1.22,3.37
Ohio,2020-03-17,2.21,1.25,3.09
Ohio,2020-03-18,2.18,1.37,2.96
Ohio,2020-03-19,2.25,1.57,2.93
Ohio,2020-03-20,2.25,1.68,2.85
Ohio,2020-03-21,2.17,1.67,2.68
Ohio,2020-03-22,2.09,1.6600000000000001,2.54
Ohio,2020-03-23,1.99,1.61,2.39
Ohio,2020-03-24,1.95,1.6,2.29
Ohio,2020-03-25,1.8900000000000001,1.59,2.21
Ohio,2020-03-26,1.82,1.55,2.11
Ohio,2020-03-27,1.75,1.5,2.0100000000000002
Ohio,2020-03-28,1.6600000000000001,1.43,1.9000000000000001
Ohio,2020-03-29,1.57,1.36,1.8
Ohio,2020-03-30,1.5,1.3,1.71
Ohio,2020-03-31,1.44,1.25,1.6400000000000001
Ohio,2020-04-01,1.4000000000000001,1.21,1.58
Ohio,2020-04-02,1.34,1.17,1.53
Ohio,2020-04-03,1.29,1.12,1.46
Ohio,2020-04-04,1.24,1.07,1.4000000000000001
Ohio,2020-04-05,1.19,1.03,1.36
Ohio,2020-04-06,1.1400000000000001,0.98,1.3
Ohio,2020-04-07,1.09,0.9400000000000001,1.26
Ohio,2020-04-08,1.05,0.9,1.22
Ohio,2020-04-09,1.02,0.86,1.17
Ohio,2020-04-10,0.99,0.8300000000000001,1.1400000000000001
Ohio,2020-04-11,0.98,0.8300000000000001,1.1500000000000001
Ohio,2020-04-12,0.99,0.84,1.16
Ohio,2020-04-13,1.04,0.88,1.19
Ohio,2020-04-14,1.12,0.96,1.27
Ohio,2020-04-15,1.25,1.1,1.4000000000000001
Ohio,2020-04-16,1.35,1.21,1.5
Ohio,2020-04-17,1.43,1.29,1.56
Ohio,2020-04-18,1.49,1.37,1.6300000000000001
Oklahoma,2020-03-12,2.0,0.34,6.43
Oklahoma,2020-03-13,1.8800000000000001,0.38,5.01
Oklahoma,2020-03-14,2.17,0.51,4.99
Oklahoma,2020-03-15,2.2800000000000002,0.61,4.59
Oklahoma,2020-03-16,2.5,0.8300000000000001,4.43
Oklahoma,2020-03-17,2.45,0.96,4.04
Oklahoma,2020-03-18,2.2,0.9400000000000001,3.56
Oklahoma,2020-03-19,2.04,0.6900000000000001,3.33
Oklahoma,2020-03-20,1.92,0.7000000000000001,3.06
Oklahoma,2020-03-21,1.74,0.65,2.8000000000000003
Oklahoma,2020-03-22,1.8800000000000001,0.9,2.84
Oklahoma,2020-03-23,2.06,1.2,2.9
Oklahoma,2020-03-24,2.2,1.45,2.91
Oklahoma,2020-03-25,2.24,1.6,2.85
Oklahoma,2020-03-26,2.08,1.54,2.64
Oklahoma,2020-03-27,1.9000000000000001,1.41,2.39
Oklahoma,2020-03-28,1.74,1.3,2.19
Oklahoma,2020-03-29,1.6300000000000001,1.23,2.06
Oklahoma,2020-03-30,1.57,1.19,1.96
Oklahoma,2020-03-31,1.53,1.18,1.9000000000000001
Oklahoma,2020-04-01,1.52,1.2,1.8800000000000001
Oklahoma,2020-04-02,1.48,1.17,1.81
Oklahoma,2020-04-03,1.42,1.11,1.71
Oklahoma,2020-04-04,1.35,1.07,1.6500000000000001
Oklahoma,2020-04-05,1.24,0.96,1.52
Oklahoma,2020-04-06,1.1400000000000001,0.87,1.42
Oklahoma,2020-04-07,1.05,0.79,1.34
Oklahoma,2020-04-08,0.9400000000000001,0.67,1.22
Oklahoma,2020-04-09,0.9,0.62,1.18
Oklahoma,2020-04-10,0.88,0.6,1.17
Oklahoma,2020-04-11,0.87,0.59,1.17
Oklahoma,2020-04-12,0.92,0.64,1.22
Oklahoma,2020-04-13,0.93,0.65,1.24
Oklahoma,2020-04-14,0.9400000000000001,0.65,1.24
Oklahoma,2020-04-15,0.97,0.67,1.26
Oklahoma,2020-04-16,0.9500000000000001,0.67,1.27
Oklahoma,2020-04-17,0.97,0.67,1.27
Oklahoma,2020-04-18,0.99,0.7000000000000001,1.3
Oregon,2020-03-05,2.0,0.34,6.43
Oregon,2020-03-06,2.35,0.48,5.72
Oregon,2020-03-07,2.05,0.5,4.54
Oregon,2020-03-08,2.17,0.61,4.33
Oregon,2020-03-09,2.16,0.68,4.01
Oregon,2020-03-10,1.93,0.64,3.54
Oregon,2020-03-11,1.79,0.6,3.22
Oregon,2020-03-12,1.56,0.08,2.9
Oregon,2020-03-13,1.49,0.1,2.7800000000000002
Oregon,2020-03-14,1.57,0.2,2.83
Oregon,2020-03-15,1.5,0.21,2.7
Oregon,2020-03-16,1.55,0.31,2.71
Oregon,2020-03-17,1.75,0.5700000000000001,2.84
Oregon,2020-03-18,1.77,0.71,2.79
Oregon,2020-03-19,1.82,0.86,2.74
Oregon,2020-03-20,1.78,0.92,2.63
Oregon,2020-03-21,1.69,0.91,2.48
Oregon,2020-03-22,1.69,0.97,2.41
Oregon,2020-03-23,1.6500000000000001,0.99,2.32
Oregon,2020-03-24,1.7,1.1,2.32
Oregon,2020-03-25,1.74,1.19,2.3000000000000003
Oregon,2020-03-26,1.74,1.23,2.24
Oregon,2020-03-27,1.68,1.22,2.15
Oregon,2020-03-28,1.62,1.19,2.05
Oregon,2020-03-29,1.48,1.08,1.8900000000000001
Oregon,2020-03-30,1.3900000000000001,1.01,1.78
Oregon,2020-03-31,1.28,0.92,1.67
Oregon,2020-04-01,1.21,0.86,1.59
Oregon,2020-04-02,1.1400000000000001,0.78,1.49
Oregon,2020-04-03,1.1,0.76,1.47
Oregon,2020-04-04,1.05,0.7000000000000001,1.4000000000000001
Oregon,2020-04-05,1.03,0.6900000000000001,1.3900000000000001
Oregon,2020-04-06,0.99,0.65,1.35
Oregon,2020-04-07,0.96,0.61,1.31
Oregon,2020-04-08,0.93,0.58,1.29
Oregon,2020-04-09,0.92,0.5700000000000001,1.29
Oregon,2020-04-10,0.91,0.54,1.26
Oregon,2020-04-11,0.92,0.56,1.29
Oregon,2020-04-12,0.91,0.55,1.29
Oregon,2020-04-13,0.92,0.56,1.31
Oregon,2020-04-14,0.93,0.55,1.3
Oregon,2020-04-15,0.91,0.53,1.29
Oregon,2020-04-16,0.89,0.5,1.27
Oregon,2020-04-17,0.88,0.48,1.26
Oregon,2020-04-18,0.89,0.51,1.31
Pennsylvania,2020-03-06,2.0,0.34,6.43
Pennsylvania,2020-03-07,1.8,0.38,4.45
Pennsylvania,2020-03-08,1.96,0.5,4.24
Pennsylvania,2020-03-09,1.78,0.48,3.67
Pennsylvania,2020-03-10,1.84,0.55,3.5300000000000002
Pennsylvania,2020-03-11,2.0,0.7000000000000001,3.5100000000000002
Pennsylvania,2020-03-12,2.04,0.81,3.35
Pennsylvania,2020-03-13,2.11,0.8,3.38
Pennsylvania,2020-03-14,2.04,0.88,3.15
Pennsylvania,2020-03-15,1.96,0.9400000000000001,2.96
Pennsylvania,2020-03-16,2.0300000000000002,1.1300000000000001,2.9
Pennsylvania,2020-03-17,2.1,1.33,2.88
Pennsylvania,2020-03-18,2.22,1.56,2.89
Pennsylvania,2020-03-19,2.2800000000000002,1.71,2.84
Pennsylvania,2020-03-20,2.23,1.75,2.72
Pennsylvania,2020-03-21,2.2,1.79,2.63
Pennsylvania,2020-03-22,2.17,1.81,2.5300000000000002
Pennsylvania,2020-03-23,2.21,1.9000000000000001,2.52
Pennsylvania,2020-03-24,2.22,1.95,2.48
Pennsylvania,2020-03-25,2.18,1.96,2.42
Pennsylvania,2020-03-26,2.1,1.9000000000000001,2.3000000000000003
Pennsylvania,2020-03-27,1.99,1.82,2.18
Pennsylvania,2020-03-28,1.8800000000000001,1.72,2.04
Pennsylvania,2020-03-29,1.76,1.62,1.9100000000000001
Pennsylvania,2020-03-30,1.67,1.54,1.81
Pennsylvania,2020-03-31,1.62,1.5,1.75
Pennsylvania,2020-04-01,1.59,1.48,1.71
Pennsylvania,2020-04-02,1.57,1.47,1.69
Pennsylvania,2020-04-03,1.54,1.44,1.6400000000000001
Pennsylvania,2020-04-04,1.5,1.4000000000000001,1.59
Pennsylvania,2020-04-05,1.45,1.36,1.54
Pennsylvania,2020-04-06,1.4000000000000001,1.32,1.49
Pennsylvania,2020-04-07,1.34,1.26,1.42
Pennsylvania,2020-04-08,1.28,1.2,1.36
Pennsylvania,2020-04-09,1.2,1.12,1.27
Pennsylvania,2020-04-10,1.12,1.04,1.19
Pennsylvania,2020-04-11,1.05,0.97,1.12
Pennsylvania,2020-04-12,0.97,0.9,1.05
Pennsylvania,2020-04-13,0.92,0.84,0.99
Pennsylvania,2020-04-14,0.89,0.8200000000000001,0.98
Pennsylvania,2020-04-15,0.89,0.81,0.97
Pennsylvania,2020-04-16,0.91,0.8300000000000001,0.99
Pennsylvania,2020-04-17,0.96,0.88,1.04
Pennsylvania,2020-04-18,1.02,0.9400000000000001,1.1
Rhode Island,2020-03-10,2.0,0.34,6.43
Rhode Island,2020-03-11,2.35,0.48,5.72
Rhode Island,2020-03-12,2.43,0.64,4.98
Rhode Island,2020-03-13,2.08,0.58,4.09
Rhode Island,2020-03-14,1.8900000000000001,0.54,3.62
Rhode Island,2020-03-15,1.77,0.55,3.36
Rhode Island,2020-03-16,1.82,0.6,3.2800000000000002
Rhode Island,2020-03-17,1.59,0.11,2.99
Rhode Island,2020-03-18,1.67,0.22,3.0300000000000002
Rhode Island,2020-03-19,1.83,0.44,3.13
Rhode Island,2020-03-20,1.99,0.75,3.2
Rhode Island,2020-03-21,1.95,0.8300000000000001,3.0100000000000002
Rhode Island,2020-03-22,1.8900000000000001,0.89,2.84
Rhode Island,2020-03-23,1.78,0.88,2.65
Rhode Island,2020-03-24,1.78,0.98,2.59
Rhode Island,2020-03-25,1.6500000000000001,0.9,2.38
Rhode Island,2020-03-26,1.62,0.93,2.3000000000000003
Rhode Island,2020-03-27,1.74,1.12,2.37
Rhode Island,2020-03-28,1.84,1.28,2.41
Rhode Island,2020-03-29,1.8800000000000001,1.3800000000000001,2.39
Rhode Island,2020-03-30,1.83,1.3800000000000001,2.29
Rhode Island,2020-03-31,1.71,1.28,2.11
Rhode Island,2020-04-01,1.61,1.22,1.99
Rhode Island,2020-04-02,1.5,1.1500000000000001,1.8800000000000001
Rhode Island,2020-04-03,1.4000000000000001,1.06,1.75
Rhode Island,2020-04-04,1.37,1.05,1.71
Rhode Island,2020-04-05,1.3900000000000001,1.08,1.71
Rhode Island,2020-04-06,1.45,1.16,1.76
Rhode Island,2020-04-07,1.55,1.28,1.84
Rhode Island,2020-04-08,1.62,1.36,1.87
Rhode Island,2020-04-09,1.6600000000000001,1.42,1.8900000000000001
Rhode Island,2020-04-10,1.6300000000000001,1.42,1.86
Rhode Island,2020-04-11,1.56,1.36,1.77
Rhode Island,2020-04-12,1.46,1.27,1.6600000000000001
Rhode Island,2020-04-13,1.35,1.17,1.54
Rhode Island,2020-04-14,1.25,1.07,1.43
Rhode Island,2020-04-15,1.16,0.99,1.34
Rhode Island,2020-04-16,1.1,0.93,1.28
Rhode Island,2020-04-17,1.06,0.89,1.24
Rhode Island,2020-04-18,1.03,0.86,1.2
South Carolina,2020-03-06,2.0,0.34,6.43
South Carolina,2020-03-07,1.8,0.38,4.45
South Carolina,2020-03-08,1.69,0.37,3.85
South Carolina,2020-03-09,1.61,0.41000000000000003,3.56
South Carolina,2020-03-10,1.55,0.38,3.29
South Carolina,2020-03-11,1.5,0.39,3.13
South Carolina,2020-03-12,1.61,0.46,3.17
South Carolina,2020-03-13,1.5,0.01,2.99
South Carolina,2020-03-14,1.6500000000000001,0.09,3.09
South Carolina,2020-03-15,1.8900000000000001,0.35000000000000003,3.3200000000000003
South Carolina,2020-03-16,2.11,0.72,3.44
South Carolina,2020-03-17,2.24,1.04,3.39
South Carolina,2020-03-18,2.35,1.35,3.34
South Carolina,2020-03-19,2.2,1.34,3.0500000000000003
South Carolina,2020-03-20,2.24,1.5,2.96
South Carolina,2020-03-21,2.13,1.5,2.77
South Carolina,2020-03-22,2.0300000000000002,1.48,2.6
South Carolina,2020-03-23,1.85,1.36,2.37
South Carolina,2020-03-24,1.7,1.24,2.16
South Carolina,2020-03-25,1.6,1.18,2.04
South Carolina,2020-03-26,1.55,1.16,1.96
South Carolina,2020-03-27,1.49,1.12,1.87
South Carolina,2020-03-28,1.53,1.17,1.87
South Carolina,2020-03-29,1.54,1.22,1.8800000000000001
South Carolina,2020-03-30,1.61,1.31,1.92
South Carolina,2020-03-31,1.61,1.33,1.9000000000000001
South Carolina,2020-04-01,1.57,1.32,1.85
South Carolina,2020-04-02,1.49,1.25,1.75
South Carolina,2020-04-03,1.3900000000000001,1.16,1.6300000000000001
South Carolina,2020-04-04,1.28,1.06,1.52
